PatientSupport,Axis,Order,PV Root,Description
LAPS,0,0,SR08ID01ROB01:POTENTIAL_POSITION_AXIS1,X Translation
LAPS,1,1,SR08ID01ROB01:POTENTIAL_POSITION_AXIS2,Y Translation
LAPS,2,2,SR08ID01ROB01:POTENTIAL_POSITION_AXIS3,Z Translation
LAPS,3,3,SR08ID01ROB01:POTENTIAL_POSITION_AXIS4,X Rotation
LAPS,4,4,SR08ID01ROB01:POTENTIAL_POSITION_AXIS5,Y Rotation
LAPS,5,5,SR08ID01ROB01:POTENTIAL_POSITION_AXIS6,Z Rotation

TEST_CTSTACK_ROT,0,0,SR08ID01SST24:ROTATION,^TESTING
TEST_CTSTACK_ROT,1,1,SR08ID01SST24:ROTATION,^TESTING
TEST_CTSTACK_ROT,2,2,SR08ID01SST24:ROTATION,^TESTING
TEST_CTSTACK_ROT,3,3,SR08ID01SST24:ROTATION,^TESTING
TEST_CTSTACK_ROT,4,4,SR08ID01SST24:ROTATION,^TESTING
TEST_CTSTACK_ROT,5,5,SR08ID01SST24:ROTATION,^TESTING

LAPS,0,0,SR08ID01ROB01:POTENTIAL_POSITION_AXIS1,X Translation
LAPS,1,1,SR08ID01ROB01:POTENTIAL_POSITION_AXIS2,Y Translation
LAPS,2,2,SR08ID01ROB01:POTENTIAL_POSITION_AXIS3,Z Translation
LAPS,3,3,SR08ID01ROB01:POTENTIAL_POSITION_AXIS4,X Rotation
LAPS,4,4,SR08ID01ROB01:POTENTIAL_POSITION_AXIS5,Y Rotation
LAPS,5,5,SR08ID01ROB01:POTENTIAL_POSITION_AXIS6,Z Rotation

Hamamatsu,SR08ID01DET04
RUBY-I,SR08ID01DET01
RUBY-II,SR08ID01DET01
DALSA,SR99ID01DALSA
